KEGG ID hsa,hsa,KEGG ID pae,pae,KEGG ID lsv,lsv,KEGG ID rsx,rsx,KEGG ID ztr,ztr,KEGG ID bfu,bfu,KEGG ID cne,cne,KEGG ID cng,cng,KEGG ID cal,cal,KEGG ID afm,afm
hsa00790,Folate biosynthesis - Homo sapiens (human),pae00900,Terpenoid backbone biosynthesis - Pseudomonas aeruginosa PAO1,lsv00770,Pantothenate and CoA biosynthesis - Lactuca sativa (garden lettuce),rsx00790,Folate biosynthesis - Rhizoctonia solani,ztr00790,Folate biosynthesis - Zymoseptoria tritici,bfu00785,Lipoic acid metabolism - Botrytis cinerea (gray mold),cne00130,Ubiquinone and other terpenoid-quinone biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00130,Ubiquinone and other terpenoid-quinone biosynthesis - Cryptococcus neoformans var. grubii H99,cal00130,Ubiquinone and other terpenoid-quinone biosynthesis - Candida albicans,afm00670,One carbon pool by folate - Aspergillus fumigatus
hsa00670,One carbon pool by folate - Homo sapiens (human),pae00903,Limonene degradation - Pseudomonas aeruginosa PAO1,lsv00780,Biotin metabolism - Lactuca sativa (garden lettuce),rsx00670,One carbon pool by folate - Rhizoctonia solani,ztr00670,One carbon pool by folate - Zymoseptoria tritici,bfu00790,Folate biosynthesis - Botrytis cinerea (gray mold),cne00900,Terpenoid backbone biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00900,Terpenoid backbone biosynthesis - Cryptococcus neoformans var. grubii H99,cal00900,Terpenoid backbone biosynthesis - Candida albicans,afm00860,Porphyrin metabolism - Aspergillus fumigatus
hsa00830,Retinol metabolism - Homo sapiens (human),pae00907,"Pinene, camphor and geraniol degradation - Pseudomonas aeruginosa PAO1",lsv00785,Lipoic acid metabolism - Lactuca sativa (garden lettuce),rsx00860,Porphyrin metabolism - Rhizoctonia solani,ztr00860,Porphyrin metabolism - Zymoseptoria tritici,bfu00670,One carbon pool by folate - Botrytis cinerea (gray mold),cne00909,Sesquiterpenoid and triterpenoid biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00909,Sesquiterpenoid and triterpenoid biosynthesis - Cryptococcus neoformans var. grubii H99,cal00909,Sesquiterpenoid and triterpenoid biosynthesis - Candida albicans,afm00130,Ubiquinone and other terpenoid-quinone biosynthesis - Aspergillus fumigatus
hsa00860,Porphyrin metabolism - Homo sapiens (human),pae00523,Polyketide sugar unit biosynthesis - Pseudomonas aeruginosa PAO1,lsv00790,Folate biosynthesis - Lactuca sativa (garden lettuce),rsx00130,Ubiquinone and other terpenoid-quinone biosynthesis - Rhizoctonia solani,ztr00130,Ubiquinone and other terpenoid-quinone biosynthesis - Zymoseptoria tritici,bfu00860,Porphyrin metabolism - Botrytis cinerea (gray mold),cne00332,Carbapenem biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00332,Carbapenem biosynthesis - Cryptococcus neoformans var. grubii H99,cal00332,Carbapenem biosynthesis - Candida albicans,afm00900,Terpenoid backbone biosynthesis - Aspergillus fumigatus
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),pae01053,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas aeruginosa PAO1,lsv00670,One carbon pool by folate - Lactuca sativa (garden lettuce),rsx00900,Terpenoid backbone biosynthesis - Rhizoctonia solani,ztr00900,Terpenoid backbone biosynthesis - Zymoseptoria tritici,bfu00130,Ubiquinone and other terpenoid-quinone biosynthesis - Botrytis cinerea (gray mold),cne00261,Monobactam biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00261,Monobactam biosynthesis - Cryptococcus neoformans var. grubii H99,cal00261,Monobactam biosynthesis - Candida albicans,afm00909,Sesquiterpenoid and triterpenoid biosynthesis - Aspergillus fumigatus
hsa00900,Terpenoid backbone biosynthesis - Homo sapiens (human),pae00946,Degradation of flavonoids - Pseudomonas aeruginosa PAO1,lsv00860,Porphyrin metabolism - Lactuca sativa (garden lettuce),rsx00909,Sesquiterpenoid and triterpenoid biosynthesis - Rhizoctonia solani,ztr00909,Sesquiterpenoid and triterpenoid biosynthesis - Zymoseptoria tritici,bfu00900,Terpenoid backbone biosynthesis - Botrytis cinerea (gray mold),cne00999,Biosynthesis of various plant secondary metabolites - Cryptococcus neoformans var. neoformans JEC21,cng00999,Biosynthesis of various plant secondary metabolites - Cryptococcus neoformans var. grubii H99,cal00999,Biosynthesis of various plant secondary metabolites - Candida albicans,afm00906,Carotenoid biosynthesis - Aspergillus fumigatus
hsa00232,Caffeine metabolism - Homo sapiens (human),pae00332,Carbapenem biosynthesis - Pseudomonas aeruginosa PAO1,lsv00130,Ubiquinone and other terpenoid-quinone biosynthesis - Lactuca sativa (garden lettuce),rsx00332,Carbapenem biosynthesis - Rhizoctonia solani,ztr00904,Diterpenoid biosynthesis - Zymoseptoria tritici,bfu00909,Sesquiterpenoid and triterpenoid biosynthesis - Botrytis cinerea (gray mold),cne03020,RNA polymerase - Cryptococcus neoformans var. neoformans JEC21,cng00791,Atrazine degradation - Cryptococcus neoformans var. grubii H99,cal00791,Atrazine degradation - Candida albicans,afm01053,Biosynthesis of siderophore group nonribosomal peptides - Aspergillus fumigatus
hsa00524,"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)",pae00261,Monobactam biosynthesis - Pseudomonas aeruginosa PAO1,lsv00900,Terpenoid backbone biosynthesis - Lactuca sativa (garden lettuce),rsx00261,Monobactam biosynthesis - Rhizoctonia solani,ztr00906,Carotenoid biosynthesis - Zymoseptoria tritici,bfu00904,Diterpenoid biosynthesis - Botrytis cinerea (gray mold),cne03022,Basal transcription factors - Cryptococcus neoformans var. neoformans JEC21,cng03020,RNA polymerase - Cryptococcus neoformans var. grubii H99,cal03020,RNA polymerase - Candida albicans,afm00901,Indole alkaloid biosynthesis - Aspergillus fumigatus
hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),pae00521,Streptomycin biosynthesis - Pseudomonas aeruginosa PAO1,lsv00902,Monoterpenoid biosynthesis - Lactuca sativa (garden lettuce),rsx00999,Biosynthesis of various plant secondary metabolites - Rhizoctonia solani,ztr00232,Caffeine metabolism - Zymoseptoria tritici,bfu00906,Carotenoid biosynthesis - Botrytis cinerea (gray mold),cne03040,Spliceosome - Cryptococcus neoformans var. neoformans JEC21,cng03022,Basal transcription factors - Cryptococcus neoformans var. grubii H99,cal03022,Basal transcription factors - Candida albicans,afm00403,Indole diterpene alkaloid biosynthesis - Aspergillus fumigatus
hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),pae00525,Acarbose and validamycin biosynthesis - Pseudomonas aeruginosa PAO1,lsv00909,Sesquiterpenoid and triterpenoid biosynthesis - Lactuca sativa (garden lettuce),rsx00791,Atrazine degradation - Rhizoctonia solani,ztr00311,Penicillin and cephalosporin biosynthesis - Zymoseptoria tritici,bfu00403,Indole diterpene alkaloid biosynthesis - Botrytis cinerea (gray mold),cne03010,Ribosome - Cryptococcus neoformans var. neoformans JEC21,cng03040,Spliceosome - Cryptococcus neoformans var. grubii H99,cal03040,Spliceosome - Candida albicans,afm00232,Caffeine metabolism - Aspergillus fumigatus
hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),pae00401,Novobiocin biosynthesis - Pseudomonas aeruginosa PAO1,lsv00904,Diterpenoid biosynthesis - Lactuca sativa (garden lettuce),rsx03020,RNA polymerase - Rhizoctonia solani,ztr00332,Carbapenem biosynthesis - Zymoseptoria tritici,bfu00232,Caffeine metabolism - Botrytis cinerea (gray mold),cne00970,Aminoacyl-tRNA biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng03010,Ribosome - Cryptococcus neoformans var. grubii H99,cal03010,Ribosome - Candida albicans,afm00311,Penicillin and cephalosporin biosynthesis - Aspergillus fumigatus
hsa03020,RNA polymerase - Homo sapiens (human),pae00405,Phenazine biosynthesis - Pseudomonas aeruginosa PAO1,lsv00906,Carotenoid biosynthesis - Lactuca sativa (garden lettuce),rsx03022,Basal transcription factors - Rhizoctonia solani,ztr00261,Monobactam biosynthesis - Zymoseptoria tritici,bfu00311,Penicillin and cephalosporin biosynthesis - Botrytis cinerea (gray mold),cne03013,Nucleocytoplasmic transport - Cryptococcus neoformans var. neoformans JEC21,cng00970,Aminoacyl-tRNA biosynthesis - Cryptococcus neoformans var. grubii H99,cal00970,Aminoacyl-tRNA biosynthesis - Candida albicans,afm00332,Carbapenem biosynthesis - Aspergillus fumigatus
hsa03022,Basal transcription factors - Homo sapiens (human),pae00999,Biosynthesis of various plant secondary metabolites - Pseudomonas aeruginosa PAO1,lsv00905,Brassinosteroid biosynthesis - Lactuca sativa (garden lettuce),rsx03040,Spliceosome - Rhizoctonia solani,ztr00404,Staurosporine biosynthesis - Zymoseptoria tritici,bfu00332,Carbapenem biosynthesis - Botrytis cinerea (gray mold),cne03015,mRNA surveillance pathway - Cryptococcus neoformans var. neoformans JEC21,cng03013,Nucleocytoplasmic transport - Cryptococcus neoformans var. grubii H99,cal03013,Nucleocytoplasmic transport - Candida albicans,afm00261,Monobactam biosynthesis - Aspergillus fumigatus
hsa03040,Spliceosome - Homo sapiens (human),pae00997,Biosynthesis of various other secondary metabolites - Pseudomonas aeruginosa PAO1,lsv00908,Zeatin biosynthesis - Lactuca sativa (garden lettuce),rsx03010,Ribosome - Rhizoctonia solani,ztr00254,Aflatoxin biosynthesis - Zymoseptoria tritici,bfu00261,Monobactam biosynthesis - Botrytis cinerea (gray mold),cne03008,Ribosome biogenesis in eukaryotes - Cryptococcus neoformans var. neoformans JEC21,cng03015,mRNA surveillance pathway - Cryptococcus neoformans var. grubii H99,cal03015,mRNA surveillance pathway - Candida albicans,afm00404,Staurosporine biosynthesis - Aspergillus fumigatus
hsa03010,Ribosome - Homo sapiens (human),pae00362,Benzoate degradation - Pseudomonas aeruginosa PAO1,lsv00940,Phenylpropanoid biosynthesis - Lactuca sativa (garden lettuce),rsx00970,Aminoacyl-tRNA biosynthesis - Rhizoctonia solani,ztr00999,Biosynthesis of various plant secondary metabolites - Zymoseptoria tritici,bfu00404,Staurosporine biosynthesis - Botrytis cinerea (gray mold),cne03060,Protein export - Cryptococcus neoformans var. neoformans JEC21,cng03008,Ribosome biogenesis in eukaryotes - Cryptococcus neoformans var. grubii H99,cal03008,Ribosome biogenesis in eukaryotes - Candida albicans,afm00254,Aflatoxin biosynthesis - Aspergillus fumigatus
hsa00970,Aminoacyl-tRNA biosynthesis - Homo sapiens (human),pae00627,Aminobenzoate degradation - Pseudomonas aeruginosa PAO1,lsv00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis - Lactuca sativa (garden lettuce)",rsx03013,Nucleocytoplasmic transport - Rhizoctonia solani,ztr03020,RNA polymerase - Zymoseptoria tritici,bfu00254,Aflatoxin biosynthesis - Botrytis cinerea (gray mold),cne04141,Protein processing in endoplasmic reticulum - Cryptococcus neoformans var. neoformans JEC21,cng03060,Protein export - Cryptococcus neoformans var. grubii H99,cal03060,Protein export - Candida albicans,afm00998,Biosynthesis of various antibiotics - Aspergillus fumigatus
hsa03013,Nucleocytoplasmic transport - Homo sapiens (human),pae00364,Fluorobenzoate degradation - Pseudomonas aeruginosa PAO1,lsv00941,Flavonoid biosynthesis - Lactuca sativa (garden lettuce),rsx03015,mRNA surveillance pathway - Rhizoctonia solani,ztr03022,Basal transcription factors - Zymoseptoria tritici,bfu00999,Biosynthesis of various plant secondary metabolites - Botrytis cinerea (gray mold),cne04130,SNARE interactions in vesicular transport - Cryptococcus neoformans var. neoformans JEC21,cng04141,Protein processing in endoplasmic reticulum - Cryptococcus neoformans var. grubii H99,cal04141,Protein processing in endoplasmic reticulum - Candida albicans,afm00999,Biosynthesis of various plant secondary metabolites - Aspergillus fumigatus
hsa03015,mRNA surveillance pathway - Homo sapiens (human),pae00625,Chloroalkane and chloroalkene degradation - Pseudomonas aeruginosa PAO1,lsv00944,Flavone and flavonol biosynthesis - Lactuca sativa (garden lettuce),rsx03008,Ribosome biogenesis in eukaryotes - Rhizoctonia solani,ztr03040,Spliceosome - Zymoseptoria tritici,bfu00791,Atrazine degradation - Botrytis cinerea (gray mold),cne04120,Ubiquitin mediated proteolysis - Cryptococcus neoformans var. neoformans JEC21,cng04130,SNARE interactions in vesicular transport - Cryptococcus neoformans var. grubii H99,cal04130,SNARE interactions in vesicular transport - Candida albicans,afm00997,Biosynthesis of various other secondary metabolites - Aspergillus fumigatus
hsa03008,Ribosome biogenesis in eukaryotes - Homo sapiens (human),pae00361,Chlorocyclohexane and chlorobenzene degradation - Pseudomonas aeruginosa PAO1,lsv00942,Anthocyanin biosynthesis - Lactuca sativa (garden lettuce),rsx03060,Protein export - Rhizoctonia solani,ztr03010,Ribosome - Zymoseptoria tritici,bfu03020,RNA polymerase - Botrytis cinerea (gray mold),cne04122,Sulfur relay system - Cryptococcus neoformans var. neoformans JEC21,cng04120,Ubiquitin mediated proteolysis - Cryptococcus neoformans var. grubii H99,cal04120,Ubiquitin mediated proteolysis - Candida albicans,afm00791,Atrazine degradation - Aspergillus fumigatus
hsa03060,Protein export - Homo sapiens (human),pae00623,Toluene degradation - Pseudomonas aeruginosa PAO1,lsv00943,Isoflavonoid biosynthesis - Lactuca sativa (garden lettuce),rsx04141,Protein processing in endoplasmic reticulum - Rhizoctonia solani,ztr00970,Aminoacyl-tRNA biosynthesis - Zymoseptoria tritici,bfu03022,Basal transcription factors - Botrytis cinerea (gray mold),cne03050,Proteasome - Cryptococcus neoformans var. neoformans JEC21,cng04122,Sulfur relay system - Cryptococcus neoformans var. grubii H99,cal04122,Sulfur relay system - Candida albicans,afm03020,RNA polymerase - Aspergillus fumigatus
hsa04141,Protein processing in endoplasmic reticulum - Homo sapiens (human),pae00622,Xylene degradation - Pseudomonas aeruginosa PAO1,lsv00901,Indole alkaloid biosynthesis - Lactuca sativa (garden lettuce),rsx04130,SNARE interactions in vesicular transport - Rhizoctonia solani,ztr03013,Nucleocytoplasmic transport - Zymoseptoria tritici,bfu03040,Spliceosome - Botrytis cinerea (gray mold),cne03018,RNA degradation - Cryptococcus neoformans var. neoformans JEC21,cng03050,Proteasome - Cryptococcus neoformans var. grubii H99,cal03050,Proteasome - Candida albicans,afm03022,Basal transcription factors - Aspergillus fumigatus
hsa04130,SNARE interactions in vesicular transport - Homo sapiens (human),pae00633,Nitrotoluene degradation - Pseudomonas aeruginosa PAO1,lsv00950,Isoquinoline alkaloid biosynthesis - Lactuca sativa (garden lettuce),rsx04120,Ubiquitin mediated proteolysis - Rhizoctonia solani,ztr03015,mRNA surveillance pathway - Zymoseptoria tritici,bfu03010,Ribosome - Botrytis cinerea (gray mold),cne03030,DNA replication - Cryptococcus neoformans var. neoformans JEC21,cng03018,RNA degradation - Cryptococcus neoformans var. grubii H99,cal03018,RNA degradation - Candida albicans,afm03040,Spliceosome - Aspergillus fumigatus
hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),pae00643,Styrene degradation - Pseudomonas aeruginosa PAO1,lsv00960,"Tropane, piperidine and pyridine alkaloid biosynthesis - Lactuca sativa (garden lettuce)",rsx04122,Sulfur relay system - Rhizoctonia solani,ztr03008,Ribosome biogenesis in eukaryotes - Zymoseptoria tritici,bfu00970,Aminoacyl-tRNA biosynthesis - Botrytis cinerea (gray mold),cne03410,Base excision repair - Cryptococcus neoformans var. neoformans JEC21,cng03030,DNA replication - Cryptococcus neoformans var. grubii H99,cal03030,DNA replication - Candida albicans,afm03010,Ribosome - Aspergillus fumigatus
hsa04122,Sulfur relay system - Homo sapiens (human),pae00930,Caprolactam degradation - Pseudomonas aeruginosa PAO1,lsv00232,Caffeine metabolism - Lactuca sativa (garden lettuce),rsx03050,Proteasome - Rhizoctonia solani,ztr03060,Protein export - Zymoseptoria tritici,bfu03013,Nucleocytoplasmic transport - Botrytis cinerea (gray mold),cne03420,Nucleotide excision repair - Cryptococcus neoformans var. neoformans JEC21,cng03410,Base excision repair - Cryptococcus neoformans var. grubii H99,cal03410,Base excision repair - Candida albicans,afm00970,Aminoacyl-tRNA biosynthesis - Aspergillus fumigatus
hsa03050,Proteasome - Homo sapiens (human),pae00626,Naphthalene degradation - Pseudomonas aeruginosa PAO1,lsv00965,Betalain biosynthesis - Lactuca sativa (garden lettuce),rsx03018,RNA degradation - Rhizoctonia solani,ztr04141,Protein processing in endoplasmic reticulum - Zymoseptoria tritici,bfu03015,mRNA surveillance pathway - Botrytis cinerea (gray mold),cne03430,Mismatch repair - Cryptococcus neoformans var. neoformans JEC21,cng03420,Nucleotide excision repair - Cryptococcus neoformans var. grubii H99,cal03420,Nucleotide excision repair - Candida albicans,afm03013,Nucleocytoplasmic transport - Aspergillus fumigatus
hsa03018,RNA degradation - Homo sapiens (human),pae03020,RNA polymerase - Pseudomonas aeruginosa PAO1,lsv00966,Glucosinolate biosynthesis - Lactuca sativa (garden lettuce),rsx03030,DNA replication - Rhizoctonia solani,ztr04130,SNARE interactions in vesicular transport - Zymoseptoria tritici,bfu03008,Ribosome biogenesis in eukaryotes - Botrytis cinerea (gray mold),cne03440,Homologous recombination - Cryptococcus neoformans var. neoformans JEC21,cng03430,Mismatch repair - Cryptococcus neoformans var. grubii H99,cal03430,Mismatch repair - Candida albicans,afm03015,mRNA surveillance pathway - Aspergillus fumigatus
hsa03030,DNA replication - Homo sapiens (human),pae03010,Ribosome - Pseudomonas aeruginosa PAO1,lsv00261,Monobactam biosynthesis - Lactuca sativa (garden lettuce),rsx03410,Base excision repair - Rhizoctonia solani,ztr04120,Ubiquitin mediated proteolysis - Zymoseptoria tritici,bfu03060,Protein export - Botrytis cinerea (gray mold),cne03450,Non-homologous end-joining - Cryptococcus neoformans var. neoformans JEC21,cng03440,Homologous recombination - Cryptococcus neoformans var. grubii H99,cal03440,Homologous recombination - Candida albicans,afm03008,Ribosome biogenesis in eukaryotes - Aspergillus fumigatus
hsa03410,Base excision repair - Homo sapiens (human),pae00970,Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1,lsv00999,Biosynthesis of various plant secondary metabolites - Lactuca sativa (garden lettuce),rsx03420,Nucleotide excision repair - Rhizoctonia solani,ztr04122,Sulfur relay system - Zymoseptoria tritici,bfu04141,Protein processing in endoplasmic reticulum - Botrytis cinerea (gray mold),cne03460,Fanconi anemia pathway - Cryptococcus neoformans var. neoformans JEC21,cng03450,Non-homologous end-joining - Cryptococcus neoformans var. grubii H99,cal03450,Non-homologous end-joining - Candida albicans,afm03060,Protein export - Aspergillus fumigatus
hsa03420,Nucleotide excision repair - Homo sapiens (human),pae03008,Ribosome biogenesis in eukaryotes - Pseudomonas aeruginosa PAO1,lsv03020,RNA polymerase - Lactuca sativa (garden lettuce),rsx03430,Mismatch repair - Rhizoctonia solani,ztr03050,Proteasome - Zymoseptoria tritici,bfu04130,SNARE interactions in vesicular transport - Botrytis cinerea (gray mold),cne03082,ATP-dependent chromatin remodeling - Cryptococcus neoformans var. neoformans JEC21,cng03460,Fanconi anemia pathway - Cryptococcus neoformans var. grubii H99,cal03460,Fanconi anemia pathway - Candida albicans,afm04141,Protein processing in endoplasmic reticulum - Aspergillus fumigatus
hsa03430,Mismatch repair - Homo sapiens (human),pae03060,Protein export - Pseudomonas aeruginosa PAO1,lsv03022,Basal transcription factors - Lactuca sativa (garden lettuce),rsx03440,Homologous recombination - Rhizoctonia solani,ztr03018,RNA degradation - Zymoseptoria tritici,bfu04120,Ubiquitin mediated proteolysis - Botrytis cinerea (gray mold),cne03083,Polycomb repressive complex - Cryptococcus neoformans var. neoformans JEC21,cng03082,ATP-dependent chromatin remodeling - Cryptococcus neoformans var. grubii H99,cal03082,ATP-dependent chromatin remodeling - Candida albicans,afm04130,SNARE interactions in vesicular transport - Aspergillus fumigatus
hsa03440,Homologous recombination - Homo sapiens (human),pae04122,Sulfur relay system - Pseudomonas aeruginosa PAO1,lsv03040,Spliceosome - Lactuca sativa (garden lettuce),rsx03450,Non-homologous end-joining - Rhizoctonia solani,ztr03030,DNA replication - Zymoseptoria tritici,bfu04122,Sulfur relay system - Botrytis cinerea (gray mold),cne03250,Viral life cycle - HIV-1 - Cryptococcus neoformans var. neoformans JEC21,cng03083,Polycomb repressive complex - Cryptococcus neoformans var. grubii H99,cal03083,Polycomb repressive complex - Candida albicans,afm04120,Ubiquitin mediated proteolysis - Aspergillus fumigatus
hsa03450,Non-homologous end-joining - Homo sapiens (human),pae03018,RNA degradation - Pseudomonas aeruginosa PAO1,lsv03010,Ribosome - Lactuca sativa (garden lettuce),rsx03460,Fanconi anemia pathway - Rhizoctonia solani,ztr03410,Base excision repair - Zymoseptoria tritici,bfu03050,Proteasome - Botrytis cinerea (gray mold),cne03272,Virion - Hepatitis viruses - Cryptococcus neoformans var. neoformans JEC21,cng03250,Viral life cycle - HIV-1 - Cryptococcus neoformans var. grubii H99,cal03250,Viral life cycle - HIV-1 - Candida albicans,afm04122,Sulfur relay system - Aspergillus fumigatus
hsa03460,Fanconi anemia pathway - Homo sapiens (human),pae03030,DNA replication - Pseudomonas aeruginosa PAO1,lsv00970,Aminoacyl-tRNA biosynthesis - Lactuca sativa (garden lettuce),rsx03082,ATP-dependent chromatin remodeling - Rhizoctonia solani,ztr03420,Nucleotide excision repair - Zymoseptoria tritici,bfu03018,RNA degradation - Botrytis cinerea (gray mold),cne02010,ABC transporters - Cryptococcus neoformans var. neoformans JEC21,cng03272,Virion - Hepatitis viruses - Cryptococcus neoformans var. grubii H99,cal03272,Virion - Hepatitis viruses - Candida albicans,afm03050,Proteasome - Aspergillus fumigatus
hsa03082,ATP-dependent chromatin remodeling - Homo sapiens (human),pae03410,Base excision repair - Pseudomonas aeruginosa PAO1,lsv03013,Nucleocytoplasmic transport - Lactuca sativa (garden lettuce),rsx03083,Polycomb repressive complex - Rhizoctonia solani,ztr03430,Mismatch repair - Zymoseptoria tritici,bfu03030,DNA replication - Botrytis cinerea (gray mold),cne04011,MAPK signaling pathway - yeast - Cryptococcus neoformans var. neoformans JEC21,cng02010,ABC transporters - Cryptococcus neoformans var. grubii H99,cal02010,ABC transporters - Candida albicans,afm03018,RNA degradation - Aspergillus fumigatus
hsa03083,Polycomb repressive complex - Homo sapiens (human),pae03420,Nucleotide excision repair - Pseudomonas aeruginosa PAO1,lsv03015,mRNA surveillance pathway - Lactuca sativa (garden lettuce),rsx03250,Viral life cycle - HIV-1 - Rhizoctonia solani,ztr03440,Homologous recombination - Zymoseptoria tritici,bfu03410,Base excision repair - Botrytis cinerea (gray mold),cne04070,Phosphatidylinositol signaling system - Cryptococcus neoformans var. neoformans JEC21,cng04011,MAPK signaling pathway - yeast - Cryptococcus neoformans var. grubii H99,cal04011,MAPK signaling pathway - yeast - Candida albicans,afm03030,DNA replication - Aspergillus fumigatus
hsa03250,Viral life cycle - HIV-1 - Homo sapiens (human),pae03430,Mismatch repair - Pseudomonas aeruginosa PAO1,lsv03008,Ribosome biogenesis in eukaryotes - Lactuca sativa (garden lettuce),rsx03272,Virion - Hepatitis viruses - Rhizoctonia solani,ztr03450,Non-homologous end-joining - Zymoseptoria tritici,bfu03420,Nucleotide excision repair - Botrytis cinerea (gray mold),cne04144,Endocytosis - Cryptococcus neoformans var. neoformans JEC21,cng04070,Phosphatidylinositol signaling system - Cryptococcus neoformans var. grubii H99,cal04070,Phosphatidylinositol signaling system - Candida albicans,afm03410,Base excision repair - Aspergillus fumigatus
hsa03260,Virion - Human immunodeficiency virus - Homo sapiens (human),pae03440,Homologous recombination - Pseudomonas aeruginosa PAO1,lsv03060,Protein export - Lactuca sativa (garden lettuce),rsx02010,ABC transporters - Rhizoctonia solani,ztr03460,Fanconi anemia pathway - Zymoseptoria tritici,bfu03430,Mismatch repair - Botrytis cinerea (gray mold),cne04145,Phagosome - Cryptococcus neoformans var. neoformans JEC21,cng04144,Endocytosis - Cryptococcus neoformans var. grubii H99,cal04144,Endocytosis - Candida albicans,afm03420,Nucleotide excision repair - Aspergillus fumigatus
hsa03271,Virion - Rotavirus - Homo sapiens (human),pae03450,Non-homologous end-joining - Pseudomonas aeruginosa PAO1,lsv04141,Protein processing in endoplasmic reticulum - Lactuca sativa (garden lettuce),rsx04011,MAPK signaling pathway - yeast - Rhizoctonia solani,ztr03082,ATP-dependent chromatin remodeling - Zymoseptoria tritici,bfu03440,Homologous recombination - Botrytis cinerea (gray mold),cne04142,Lysosome - Cryptococcus neoformans var. neoformans JEC21,cng04145,Phagosome - Cryptococcus neoformans var. grubii H99,cal04145,Phagosome - Candida albicans,afm03430,Mismatch repair - Aspergillus fumigatus
hsa03264,Virion - Flavivirus and Alphavirus - Homo sapiens (human),pae03250,Viral life cycle - HIV-1 - Pseudomonas aeruginosa PAO1,lsv04130,SNARE interactions in vesicular transport - Lactuca sativa (garden lettuce),rsx04070,Phosphatidylinositol signaling system - Rhizoctonia solani,ztr03083,Polycomb repressive complex - Zymoseptoria tritici,bfu03450,Non-homologous end-joining - Botrytis cinerea (gray mold),cne04146,Peroxisome - Cryptococcus neoformans var. neoformans JEC21,cng04142,Lysosome - Cryptococcus neoformans var. grubii H99,cal04142,Lysosome - Candida albicans,afm03440,Homologous recombination - Aspergillus fumigatus
hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus - Homo sapiens (human)",pae02010,ABC transporters - Pseudomonas aeruginosa PAO1,lsv04120,Ubiquitin mediated proteolysis - Lactuca sativa (garden lettuce),rsx04144,Endocytosis - Rhizoctonia solani,ztr03250,Viral life cycle - HIV-1 - Zymoseptoria tritici,bfu03460,Fanconi anemia pathway - Botrytis cinerea (gray mold),cne04138,Autophagy - yeast - Cryptococcus neoformans var. neoformans JEC21,cng04146,Peroxisome - Cryptococcus neoformans var. grubii H99,cal04146,Peroxisome - Candida albicans,afm03450,Non-homologous end-joining - Aspergillus fumigatus
hsa03273,Virion - Lassa virus and SFTS virus - Homo sapiens (human),pae02060,Phosphotransferase system (PTS) - Pseudomonas aeruginosa PAO1,lsv04122,Sulfur relay system - Lactuca sativa (garden lettuce),rsx04145,Phagosome - Rhizoctonia solani,ztr03272,Virion - Hepatitis viruses - Zymoseptoria tritici,bfu03082,ATP-dependent chromatin remodeling - Botrytis cinerea (gray mold),cne04136,Autophagy - other - Cryptococcus neoformans var. neoformans JEC21,cng04138,Autophagy - yeast - Cryptococcus neoformans var. grubii H99,cal04138,Autophagy - yeast - Candida albicans,afm03460,Fanconi anemia pathway - Aspergillus fumigatus
hsa03272,Virion - Hepatitis viruses - Homo sapiens (human),pae03070,Bacterial secretion system - Pseudomonas aeruginosa PAO1,lsv03050,Proteasome - Lactuca sativa (garden lettuce),rsx04142,Lysosome - Rhizoctonia solani,ztr02010,ABC transporters - Zymoseptoria tritici,bfu03083,Polycomb repressive complex - Botrytis cinerea (gray mold),cne04139,Mitophagy - yeast - Cryptococcus neoformans var. neoformans JEC21,cng04136,Autophagy - other - Cryptococcus neoformans var. grubii H99,cal04136,Autophagy - other - Candida albicans,afm03082,ATP-dependent chromatin remodeling - Aspergillus fumigatus
hsa03266,Virion - Herpesvirus - Homo sapiens (human),pae02020,Two-component system - Pseudomonas aeruginosa PAO1,lsv03018,RNA degradation - Lactuca sativa (garden lettuce),rsx04146,Peroxisome - Rhizoctonia solani,ztr04011,MAPK signaling pathway - yeast - Zymoseptoria tritici,bfu03250,Viral life cycle - HIV-1 - Botrytis cinerea (gray mold),cne04148,Efferocytosis - Cryptococcus neoformans var. neoformans JEC21,cng04139,Mitophagy - yeast - Cryptococcus neoformans var. grubii H99,cal04139,Mitophagy - yeast - Candida albicans,afm03083,Polycomb repressive complex - Aspergillus fumigatus
